Column1,id_sampl,Survey,strata_id,psu,nr_hhs,locality_code,gov_code,gov_name,gov_area,enum_area,oslo_area,Oslo_Area2,Strata,locality.name,West.Bank.or.Gaza.Strip,psu_id,pop_numbers,SumDist,proba,survey_buffer,Column2
85,id_2424,8,Salfit_C,1.2420810584964e-313,152,251400,25,Salfit,Salfit_C,5,3,_C,Salfit_C,?????????,West Bank,1.2420810584964e-313,152,1872,0.081196581,8,5.263157895
86,id_2426,8,Salfit_C,1.24208106343705e-313,88,251400,25,Salfit,Salfit_C,6,3,_C,Salfit_C,?????????,West Bank,1.24208106343705e-313,88,1872,0.047008547,8,9.090909091
87,id_2438,8,Salfit_C,1.24220457490786e-313,39,251425,25,Salfit,Salfit_C,5,3,_C,Salfit_C,????? ??????,West Bank,1.24220457490786e-313,39,1872,0.020833333,8,20.51282051
237,id_690,32,Tubas_C,2.49107903722033e-314,39,50420,5,Tubas,Tubas_C,1,3,_C,Tubas_C,?????????,West Bank,2.49107903722033e-314,39,335,0.11641791,32,82.05128205
238,id_696,14,Tubas_C,2.49256128356441e-314,22,50450,5,Tubas,Tubas_C,2,3,_C,Tubas_C,????? ?????????,West Bank,2.49256128356441e-314,22,335,0.065671642,14,63.63636364
239,id_697,22,Tubas_C,2.49280826698077e-314,36,50455,5,Tubas,Tubas_C,1,3,_C,Tubas_C,?????????,West Bank,2.49280826698077e-314,36,335,0.107462687,22,61.11111111
240,id_698,11,Tubas_C,2.49354936544953e-314,15,50470,5,Tubas,Tubas_C,1,3,_C,Tubas_C,??????? ??? ????????,West Bank,2.49354936544953e-314,15,335,0.044776119,11,73.33333333
241,id_699,12,Tubas_C,2.49453749674122e-314,20,50490,5,Tubas,Tubas_C,1,3,_C,Tubas_C,???????,West Bank,2.49453749674122e-314,20,335,0.059701493,12,60
242,id_719,24,Tubas_C,2.49755129718085e-314,24,50551,5,Tubas,Tubas_C,1,3,_C,Tubas_C,?????????????,West Bank,2.49755129718085e-314,24,335,0.071641791,24,100
243,id_720,28,Tubas_C,2.4979959562621e-314,40,50560,5,Tubas,Tubas_C,1,3,_C,Tubas_C,?????????,West Bank,2.4979959562621e-314,40,335,0.119402985,28,70
244,id_721,40,Tubas_C,2.49898408755379e-314,60,50580,5,Tubas,Tubas_C,1,3,_C,Tubas_C,???????,West Bank,2.49898408755379e-314,60,335,0.179104478,40,66.66666667
245,id_747,12,Tubas_C,2.50046747024886e-314,12,50610,5,Tubas,Tubas_C,25,3,_C,Tubas_C,???????,West Bank,2.50046747024886e-314,12,335,0.035820896,12,100
246,id_808,9,Tubas_C,2.51336139784777e-314,9,50871,5,Tubas,Tubas_C,1,3,_C,Tubas_C,?????????????,West Bank,2.51336139784777e-314,9,335,0.026865672,9,100
247,id_811,12,Tubas_C,2.51336154606746e-314,12,50871,5,Tubas,Tubas_C,4,3,_C,Tubas_C,?????????????,West Bank,2.51336154606746e-314,12,335,0.035820896,12,100
1,id_1032,8,Tulkarem_C,4.9725251268418e-314,112,100645,10,Tulkarem,Tulkarem_C,29,3,_C,Tulkarem_C,?????????,West Bank,4.9725251268418e-314,112,3500,0.032,8,7.142857143
